Word	Indices	GP sum	GP sum red header	Plaintext minus ciphertext	Plaintext plus ciphertext	Ciphertext_minus_plaintext
grimness	[6, 4, 10, 19, 9, 18, 15, 15]	332	429	[16, 12, 16, 21, 7, 4, 5, 25]	[25, 25, 4, 17, 11, 3, 25, 5]	[13, 17, 13, 8, 22, 25, 24, 4]
grimoire	[6, 4, 10, 19, 3, 10, 4, 18]	246	343	[16, 12, 16, 21, 1, 25, 23, 28]	[25, 25, 4, 17, 5, 24, 14, 8]	[13, 17, 13, 8, 28, 4, 6, 1]
grinding	[6, 4, 10, 9, 23, 10, 9, 6]	254	351	[16, 12, 16, 11, 21, 25, 28, 16]	[25, 25, 4, 7, 25, 24, 19, 25]	[13, 17, 13, 18, 8, 4, 1, 13]
grinning	[6, 4, 10, 9, 9, 10, 9, 6]	194	291	[16, 12, 16, 11, 7, 25, 28, 16]	[25, 25, 4, 7, 11, 24, 19, 25]	[13, 17, 13, 18, 22, 4, 1, 13]
gripsack	[6, 4, 10, 13, 15, 24, 5, 5]	278	375	[16, 12, 16, 15, 13, 10, 24, 15]	[25, 25, 4, 11, 17, 9, 15, 24]	[13, 17, 13, 14, 16, 19, 5, 14]
grissino	[6, 4, 10, 15, 15, 10, 9, 3]	232	329	[16, 12, 16, 17, 13, 25, 28, 13]	[25, 25, 4, 13, 17, 24, 19, 22]	[13, 17, 13, 12, 16, 4, 1, 16]
gritrock	[6, 4, 10, 16, 4, 3, 5, 5]	162	259	[16, 12, 16, 18, 2, 18, 24, 15]	[25, 25, 4, 14, 6, 17, 15, 24]	[13, 17, 13, 11, 27, 11, 5, 14]
gromwell	[6, 4, 3, 19, 7, 18, 20, 20]	338	435	[16, 12, 9, 21, 5, 4, 10, 1]	[25, 25, 26, 17, 9, 3, 1, 10]	[13, 17, 20, 8, 24, 25, 19, 28]
grooming	[6, 4, 3, 3, 19, 10, 9, 6]	190	287	[16, 12, 9, 5, 17, 25, 28, 16]	[25, 25, 26, 1, 21, 24, 19, 25]	[13, 17, 20, 24, 12, 4, 1, 13]
grooving	[6, 4, 3, 3, 1, 10, 9, 6]	122	219	[16, 12, 9, 5, 28, 25, 28, 16]	[25, 25, 26, 1, 3, 24, 19, 25]	[13, 17, 20, 24, 1, 4, 1, 13]
groschen	[6, 4, 3, 15, 5, 8, 18, 9]	220	317	[16, 12, 9, 17, 3, 23, 8, 19]	[25, 25, 26, 13, 7, 22, 28, 28]	[13, 17, 20, 12, 26, 6, 21, 10]
grossbeak	[6, 4, 3, 15, 15, 17, 28, 5]	324	421	[16, 12, 9, 17, 13, 3, 18, 15]	[25, 25, 26, 13, 17, 2, 9, 24]	[13, 17, 20, 12, 16, 26, 11, 14]
grounder	[6, 4, 3, 1, 9, 23, 18, 4]	234	331	[16, 12, 9, 3, 7, 9, 8, 14]	[25, 25, 26, 28, 11, 8, 28, 23]	[13, 17, 20, 26, 22, 20, 21, 15]
grouping	[6, 4, 3, 1, 13, 10, 9, 6]	158	255	[16, 12, 9, 3, 11, 25, 28, 16]	[25, 25, 26, 28, 15, 24, 19, 25]	[13, 17, 20, 26, 18, 4, 1, 13]
groveler	[6, 4, 3, 1, 18, 20, 18, 4]	256	353	[16, 12, 9, 3, 16, 6, 8, 14]	[25, 25, 26, 28, 20, 5, 28, 23]	[13, 17, 20, 26, 13, 23, 21, 15]
growling	[6, 4, 3, 7, 20, 10, 9, 6]	204	301	[16, 12, 9, 9, 18, 25, 28, 16]	[25, 25, 26, 5, 22, 24, 19, 25]	[13, 17, 20, 20, 11, 4, 1, 13]
grumbler	[6, 4, 1, 19, 17, 20, 18, 4]	314	411	[16, 12, 7, 21, 15, 6, 8, 14]	[25, 25, 24, 17, 19, 5, 28, 23]	[13, 17, 22, 8, 14, 23, 21, 15]
