Word;Indices;GP sum;GP sum red header;Plaintext minus ciphertext;Plaintext plus ciphertext;Ciphertext_minus_plaintext
Blechnum;[17, 20, 18, 5, 8, 9, 1, 19];340;437;[27, 28, 24, 7, 6, 24, 20, 0];[7, 12, 12, 3, 10, 23, 11, 9];[2, 1, 5, 22, 23, 5, 9, 0]
Blenheim;[17, 20, 18, 9, 8, 18, 10, 19];422;519;[27, 28, 24, 11, 6, 4, 0, 0];[7, 12, 12, 7, 10, 3, 20, 9];[2, 1, 5, 18, 23, 25, 0, 0]
Blennius;[17, 20, 18, 9, 9, 10, 1, 15];346;443;[27, 28, 24, 11, 7, 25, 20, 25];[7, 12, 12, 7, 11, 24, 11, 5];[2, 1, 5, 18, 22, 4, 9, 4]
Bletilla;[17, 20, 18, 16, 10, 20, 20, 24];534;631;[27, 28, 24, 18, 8, 6, 10, 5];[7, 12, 12, 14, 12, 5, 1, 14];[2, 1, 5, 11, 21, 23, 19, 24]
Bluebeard;[17, 20, 1, 18, 17, 28, 4, 23];474;571;[27, 28, 7, 20, 15, 14, 23, 4];[7, 12, 24, 16, 19, 13, 14, 13];[2, 1, 22, 9, 14, 15, 6, 25]
Bodensee;[17, 3, 23, 18, 9, 15, 18, 18];440;537;[27, 11, 0, 20, 7, 1, 8, 28];[7, 24, 17, 16, 11, 0, 28, 8];[2, 18, 0, 9, 22, 28, 21, 1]
Boehmeria;[17, 22, 8, 19, 18, 4, 10, 24];444;541;[27, 1, 14, 21, 16, 19, 0, 5];[7, 14, 2, 17, 20, 18, 20, 14];[2, 28, 15, 8, 13, 10, 0, 24]
Bolbitis;[17, 3, 20, 17, 10, 16, 10, 15];376;473;[27, 11, 26, 19, 8, 2, 0, 25];[7, 24, 14, 15, 12, 1, 20, 5];[2, 18, 3, 10, 21, 27, 0, 4]
Boltonia;[17, 3, 20, 16, 3, 9, 10, 24];364;461;[27, 11, 26, 18, 1, 24, 0, 5];[7, 24, 14, 14, 5, 23, 20, 14];[2, 18, 3, 11, 28, 5, 0, 24]
Boniface;[17, 3, 9, 10, 0, 24, 5, 18];307;404;[27, 11, 15, 12, 27, 10, 24, 28];[7, 24, 3, 8, 2, 9, 15, 8];[2, 18, 14, 17, 2, 19, 5, 1]
Bontemps;[17, 3, 9, 16, 18, 19, 13, 15];390;487;[27, 11, 15, 18, 16, 5, 3, 25];[7, 24, 3, 14, 20, 4, 23, 5];[2, 18, 14, 11, 13, 24, 26, 4]
Borassus;[17, 3, 4, 24, 15, 15, 1, 15];338;435;[27, 11, 10, 26, 13, 1, 20, 25];[7, 24, 27, 22, 17, 0, 11, 5];[2, 18, 19, 3, 16, 28, 9, 4]
Borodino;[17, 3, 4, 3, 23, 10, 9, 3];242;339;[27, 11, 10, 5, 21, 25, 28, 13];[7, 24, 27, 1, 25, 24, 19, 22];[2, 18, 19, 24, 8, 4, 1, 16]
Bosporus;[17, 3, 15, 13, 3, 4, 1, 15];238;335;[27, 11, 21, 15, 1, 19, 20, 25];[7, 24, 9, 11, 5, 18, 11, 5];[2, 18, 8, 14, 28, 10, 9, 4]
Bostonian;[17, 3, 15, 16, 3, 9, 27, 9];352;449;[27, 11, 21, 18, 1, 24, 17, 19];[7, 24, 9, 14, 5, 23, 8, 28];[2, 18, 8, 11, 28, 5, 12, 10]
Botaurus;[17, 3, 16, 24, 1, 4, 1, 15];294;391;[27, 11, 22, 26, 28, 19, 20, 25];[7, 24, 10, 22, 3, 18, 11, 5];[2, 18, 7, 3, 1, 10, 9, 4]
Botswana;[17, 3, 16, 15, 7, 24, 9, 24];422;519;[27, 11, 22, 17, 5, 10, 28, 5];[7, 24, 10, 13, 9, 9, 19, 14];[2, 18, 7, 12, 24, 19, 1, 24]
Bouvines;[17, 3, 1, 1, 10, 9, 18, 15];254;351;[27, 11, 7, 3, 8, 24, 8, 25];[7, 24, 24, 28, 12, 23, 28, 5];[2, 18, 22, 26, 21, 5, 21, 4]
Bowditch;[17, 3, 7, 23, 10, 16, 5, 8];302;399;[27, 11, 13, 25, 8, 2, 24, 18];[7, 24, 1, 21, 12, 1, 15, 27];[2, 18, 16, 4, 21, 27, 5, 11]
Boykinia;[17, 3, 26, 5, 10, 9, 10, 24];372;469;[27, 11, 3, 7, 8, 24, 0, 5];[7, 24, 20, 3, 12, 23, 20, 14];[2, 18, 26, 22, 21, 5, 0, 24]
Bradbury;[17, 4, 24, 23, 17, 1, 4, 26];436;533;[27, 12, 1, 25, 15, 16, 23, 7];[7, 25, 18, 21, 19, 15, 14, 16];[2, 17, 28, 4, 14, 13, 6, 22]
Bradford;[17, 4, 24, 23, 0, 3, 4, 23];367;464;[27, 12, 1, 25, 27, 18, 23, 4];[7, 25, 18, 21, 2, 17, 14, 13];[2, 17, 28, 4, 2, 11, 6, 25]
Bradypus;[17, 4, 24, 23, 26, 13, 1, 15];460;557;[27, 12, 1, 25, 24, 28, 20, 25];[7, 25, 18, 21, 28, 27, 11, 5];[2, 17, 28, 4, 5, 1, 9, 4]
Brahmana;[17, 4, 24, 8, 19, 24, 9, 24];486;583;[27, 12, 1, 10, 17, 10, 28, 5];[7, 25, 18, 6, 21, 9, 19, 14];[2, 17, 28, 19, 12, 19, 1, 24]
Bramante;[17, 4, 24, 19, 24, 9, 16, 18];492;589;[27, 12, 1, 21, 22, 24, 6, 28];[7, 25, 18, 17, 26, 23, 26, 8];[2, 17, 28, 8, 7, 5, 23, 1]
Bramidae;[17, 4, 24, 19, 10, 23, 24, 18];524;621;[27, 12, 1, 21, 8, 9, 14, 28];[7, 25, 18, 17, 12, 8, 5, 8];[2, 17, 28, 8, 21, 20, 15, 1]
Brancusi;[17, 4, 24, 9, 5, 1, 15, 10];298;395;[27, 12, 1, 11, 3, 16, 5, 20];[7, 25, 18, 7, 7, 15, 25, 0];[2, 17, 28, 18, 26, 13, 24, 9]
Brasenia;[17, 4, 24, 15, 18, 9, 10, 24];446;543;[27, 12, 1, 17, 16, 24, 0, 5];[7, 25, 18, 13, 20, 23, 20, 14];[2, 17, 28, 12, 13, 5, 0, 24]
Brasilia;[17, 4, 24, 15, 10, 20, 10, 24];454;551;[27, 12, 1, 17, 8, 6, 0, 5];[7, 25, 18, 13, 12, 5, 20, 14];[2, 17, 28, 12, 21, 23, 0, 24]
Brassica;[17, 4, 24, 15, 15, 10, 5, 24];416;513;[27, 12, 1, 17, 13, 25, 24, 5];[7, 25, 18, 13, 17, 24, 15, 14];[2, 17, 28, 12, 16, 4, 5, 24]
Brazilian;[17, 4, 24, 15, 10, 20, 27, 9];462;559;[27, 12, 1, 17, 8, 6, 17, 19];[7, 25, 18, 13, 12, 5, 8, 28];[2, 17, 28, 12, 21, 23, 12, 10]
Bretagne;[17, 4, 18, 16, 24, 6, 9, 18];408;505;[27, 12, 24, 18, 22, 21, 28, 28];[7, 25, 12, 14, 26, 20, 19, 8];[2, 17, 5, 11, 7, 8, 1, 1]
Breughel;[17, 4, 18, 1, 6, 8, 18, 20];322;419;[27, 12, 24, 3, 4, 23, 8, 1];[7, 25, 12, 28, 8, 22, 28, 10];[2, 17, 5, 26, 25, 6, 21, 28]
Brezhnev;[17, 4, 18, 15, 8, 9, 18, 1];314;411;[27, 12, 24, 17, 6, 24, 8, 11];[7, 25, 12, 13, 10, 23, 28, 20];[2, 17, 5, 12, 23, 5, 21, 18]
